ticket_id,description,category,priority,team,suggested_action
1,"Cannot connect to VPN from home",Network,High,Network Support,"Restart VPN client, check internet connection, verify VPN credentials."
2,"Need password reset for email account",Access,Medium,IT Support,"Verify user identity and reset password through identity portal."
3,"Laptop running very slow after update",Hardware,Medium,Desktop Support,"Check system updates, restart device, review running processes."
4,"Azure virtual machine is not responding",Cloud,Urgent,Cloud Support,"Check Azure portal status, restart VM, review monitoring logs."
5,"Power BI dashboard is not refreshing",Data,High,Data Support,"Check dataset refresh schedule, verify gateway connection, review data source credentials."
6,"Unable to access shared company folder",Access,High,IT Support,"Check user permissions and confirm access group membership."
7,"Wi-Fi keeps disconnecting in office",Network,Medium,Network Support,"Restart network adapter, check signal strength, escalate if multiple users affected."
8,"Printer is not responding",Hardware,Low,Desktop Support,"Check printer connection, restart printer, reinstall printer driver if needed."
9,"Application crashes when opening reports",Software,High,Application Support,"Collect error logs, restart application, check recent updates."
10,"Database connection timeout error",Data,Urgent,Data Support,"Check database server availability, review connection string, escalate to database admin."
11,"Teams meeting audio not working",Software,Medium,Application Support,"Check microphone permissions, restart Teams, test audio device."
12,"Cloud storage upload failed",Cloud,High,Cloud Support,"Check storage account status, verify permissions, retry upload."
13,"Employee cannot login after password change",Access,High,IT Support,"Confirm password sync, unlock account, verify MFA status."
14,"Company website is loading slowly",Network,High,Network Support,"Check network latency, review server health, escalate to web operations team."
15,"Excel file with business data is corrupted",Data,Medium,Data Support,"Restore previous version, check file permissions, validate backup availability."
16,"Suspicious email received with unknown attachment",Security,High,Security Operations,"Do not open attachment, report phishing email, scan mailbox and endpoint."
17,"User account locked after multiple failed login attempts",Access,Medium,IT Support,"Unlock account after identity verification and review failed login history."
18,"Azure storage container access denied",Cloud,High,Cloud Support,"Check role-based access permissions and storage account policies."
19,"Firewall blocking access to internal application",Network,High,Network Support,"Review firewall rules, validate access request, and update rule if approved."
20,"Laptop battery drains very quickly",Hardware,Low,Desktop Support,"Check battery health, power settings, and replace battery if required."
21,"Power BI report shows incorrect sales numbers",Data,High,Data Support,"Validate source data, check transformation logic, and refresh report dataset."
22,"ERP application shows server error",Software,High,Application Support,"Check application logs, restart service, and escalate to app team."
23,"Possible malware detected on workstation",Security,Urgent,Security Operations,"Isolate device, run malware scan, and escalate to security incident response."
24,"Cannot connect to office Wi-Fi",Network,Medium,Network Support,"Forget network, reconnect, verify credentials, and check access point status."
25,"New employee needs access to HR system",Access,Medium,IT Support,"Confirm manager approval and add user to correct access group."
26,"Azure web app deployment failed",Cloud,High,Cloud Support,"Review deployment logs, check build errors, and validate app service settings."
27,"SQL query is running very slowly",Data,Medium,Data Support,"Review query performance, indexes, and database resource usage."
28,"Monitor screen flickering during work",Hardware,Low,Desktop Support,"Check display cable, update graphics driver, and test another monitor."
29,"Outlook keeps freezing when sending emails",Software,Medium,Application Support,"Restart Outlook, check add-ins, and repair Office installation."
30,"User clicked a suspicious link in email",Security,Urgent,Security Operations,"Reset password, review sign-in logs, scan device, and report incident."
31,"VPN disconnects every few minutes",Network,High,Network Support,"Check VPN logs, network stability, and client version."
32,"Unable to access SharePoint documents",Access,High,IT Support,"Verify SharePoint permissions and Microsoft 365 group membership."
33,"Azure function is timing out",Cloud,High,Cloud Support,"Review function logs, timeout settings, and connected service performance."
34,"Dashboard refresh failed because gateway is offline",Data,High,Data Support,"Restart gateway service and verify data source connectivity."
35,"Keyboard keys are not working",Hardware,Low,Desktop Support,"Clean keyboard, test external keyboard, and replace hardware if needed."
36,"Internal application login page not loading",Software,High,Application Support,"Check application server status, browser cache, and service availability."
37,"Multiple users report slow internet",Network,Urgent,Network Support,"Check network outage, bandwidth usage, and escalate to network operations."
38,"MFA code not received on phone",Access,Medium,IT Support,"Verify MFA method, update phone number, and re-register authentication app."
39,"Cloud database backup failed overnight",Cloud,Urgent,Cloud Support,"Review backup logs, storage availability, and rerun backup job."
40,"Data pipeline failed during nightly load",Data,Urgent,Data Support,"Check pipeline logs, source availability, and rerun failed job."
41,"Company laptop will not turn on",Hardware,High,Desktop Support,"Check charger, battery, and hardware diagnostics."
42,"CRM application is showing blank screen",Software,Medium,Application Support,"Clear browser cache, check app status, and review console errors."
43,"Unauthorized login detected from another country",Security,Urgent,Security Operations,"Disable account temporarily, reset credentials, and investigate sign-in logs."
44,"Printer prints blank pages",Hardware,Low,Desktop Support,"Check toner, printer settings, and run printer maintenance."
45,"Employee cannot access payroll portal",Access,High,IT Support,"Verify payroll system permissions and user account status."
46,"Azure VM CPU usage is very high",Cloud,High,Cloud Support,"Review performance metrics, identify processes, and scale resources if needed."
47,"Power BI users cannot view dashboard",Data,Medium,Data Support,"Check workspace access, sharing settings, and report permissions."
48,"Teams chat messages are delayed",Software,Medium,Application Support,"Check Microsoft 365 service health and restart Teams client."
49,"Phishing email reported by multiple employees",Security,Urgent,Security Operations,"Block sender, remove email from mailboxes, and notify affected users."
50,"Office network is completely down",Network,Urgent,Network Support,"Check core network devices, ISP status, and escalate outage immediately."